Rio Grande do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Gravata&iacute;,4309209,gravataiense,LUIZ ARIANO ZAFFALON,468.288,265074,566.05,275430,97.86,0.736,7.77,1368453262.94,1329472096.74,58646.11,
Guabiju,4309258,guabijuense,NERI ROSA DA SILVA,146.925,1417,9.64,1441,100,0.758,111.11,30883643.32,25752132.42,75994.12,
Gua&iacute;ba,4309308,guaibense,MARCELO SOARES REINALDO,377.664,92924,247.03,95946,97.84,0.730,8.8,726878584.04,654290154.01,96872.55,
Guapor&eacute;,4309407,guaporense,ODAIR ANDRE ROSSETTO,297.545,25268,84.92,26168,100,0.765,13.16,208080752.49,197610746.41,50045,
Guarani das Miss&otilde;es,4309506,guaraniense,LEANDRO INACIO WASTOWSKI,289.516,7415,25.51,7547,99.22,0.737,-,55987125.15,57109663.1,39884.41,
Harmonia,4309555,harmoniense,ERNANI JOS&Eacute; FORNECK,48.540,5378,110.76,5535,99.63,0.749,-,64758364.1,50563023.94,57073.42,
Herveiras,4309571,herveirense,NAZARIO RUBI KUENTZER,117.981,2565,21.69,2604,100,0.616,-,31284767.26,26902544.41,34492.77,
Horizontina,4309605,horizontinense,JONES JEHN DA CUNHA,229.694,18851,82.07,19252,99.42,0.783,20.41,237585131.37,198823522.25,96973.64,
Hulha Negra,4309654,hulha-negrense,FERNANDO CAMPANI,822.608,5976,7.26,6102,99.23,0.643,-,47611909.53,44426399.44,38296.52,
Humait&aacute;,4309704,humaitaense,LUIZ CARLOS SANDRI,135.010,4681,34.67,4772,99.49,0.738,-,53634512.07,48325159.13,46575.76,
Ibarama,4309753,ibaramense,VALMOR NERI MATTANA,195.426,3732,19.10,3787,99.4,0.652,30.3,40898664.75,32957509.74,28260.69,
Ibia&ccedil;&aacute;,4309803,ibia&ccedil;aense,JONES ROBERTO CECCHIN,348.778,4527,12.98,4617,99.21,0.739,-,50463699.61,45511256.45,65995.28,
Ibiraiaras,4309902,ibiraiarense,JOEL ISIDORO CRISTIANETTI,280.816,6776,23.19,6827,99.41,0.724,28.99,64270694.52,60167289.36,56109.7,
Ibirapuit&atilde;,4309951,ibirapuitanense,ROSEMAR HENTGES,307.164,3723,12.12,3789,99.43,0.638,73.17,40434174.95,39244145.69,50524.24,
Ibirub&aacute;,4310009,ibirubense,JAQUELINE BRIGNONI WINSCH,607.185,21583,35.55,22106,99.77,0.765,7.66,169291184.75,148960251.93,79138.28,
Igrejinha,4310108,igrejinhense,LEANDRO MARCIANO HORLLE,138.116,32808,237.22,34776,97.35,0.721,11.16,258365639.84,221647536.39,79713.31,
Iju&iacute;,4310207,ijuiense,ANDREI COSSETIN SCZMANSKI,688.982,84780,123.05,87848,99.4,0.781,2.85,673398181.8,709448477.18,72012.79,
Il&oacute;polis,4310306,ilopolitano,FERNANDO DAPONT,123.602,4157,33.63,4245,98.89,0.730,-,44578333.59,38576558.19,39668.12,
Imb&eacute;,4310330,Imbeense,LUIS HENRIQUE VEDOVATO,39.766,26824,674.55,28027,98.1,0.764,14.98,234532324.4,219514730.71,28439.7,
Imigrante,4310363,imigrantense,GERMANO STEVENS,71.718,3080,42.95,3149,100,0.743,-,61927284.4,50249767.81,191712.99,
Independ&ecirc;ncia,4310405,independenciense,EDUARDO MAAHS MARASCA,358.284,6427,17.94,6557,98.51,0.693,-,58748623.8,53952817.52,69022.26,
Inhacor&aacute;,4310413,inhacorense,EMERSON CAVALI DE VARGAS,113.749,2014,17.71,2047,99.23,0.673,-,33029059.35,28475093.9,37932.38,
Ip&ecirc;,4310439,ipeense,JOS&Eacute; M&Aacute;RIO GRAZZIOTIN,599.032,5399,9.01,5490,96.84,0.728,15.63,57093546.58,51820131.46,72776.89,
Ipiranga do Sul,4310462,ipiranguense,MARCO ANTONIO SANA,158.710,1720,10.84,1748,100,0.791,-,34697016.04,28159134.88,71148.58,
Ira&iacute;,4310504,iraiense,VOLMIR JOS&Eacute; BIELSKI,181.850,7482,41.21,7619,97.76,0.691,-,45620491.25,41198590.51,34186.77,
Itaara,4310538,itaarense,SANDRO ROBERTO GALAR&Ccedil;A FERIGOLLO,172.801,5572,32.25,5712,100,0.760,-,54302532.02,38744270.82,54588.39,
Itacurubi,4310553,itacurubiense,GELSO DOS SANTOS SOARES,1120.249,2995,2.67,3038,100,0.657,-,43931146.73,37528321.61,38177.55,
Itapuca,4310579,itapuquense,DELAVIR SCORSATTO,184.673,1937,10.49,1963,100,0.664,-,33168927.22,30347980.58,48467.2,
Itaqui,4310603,itaquiense,LEONARDO DICSON SANCHEZ BETIN,3405.999,35768,10.50,36811,99.49,0.713,2.49,241349204.05,224463257.19,57843.3,
Itati,4310652,itatiense,MADALENA TRISCH RAPACK,205.060,2638,12.86,2696,99.2,0.669,-,36763271.05,34814544.66,39227.64,
Itatiba do Sul,4310702,itatibense,VALDEMAR CIBULSKI,212.669,3208,15.08,3240,100,0.681,47.62,43208492.87,38752192.2,26531.49,
Ivor&aacute;,4310751,ivorense,JOSEMAR ZORZI OSMARI,122.930,1929,15.69,1962,100,0.724,-,33748009.78,26129612.73,27969.06,
Ivoti,4310801,ivotiense,VALDIR JOS&Eacute; LUDWIG,63.092,22983,364.28,23566,100,0.784,11.19,180280188.7,165807044.79,66957.25,
Jaboticaba,4310850,jaboticabense,EDVALDO ROSA RIBEIRO,127.589,3779,29.62,3847,98.6,0.658,23.81,34087634.55,31322856.3,28251.78,
Jacuizinho,4310876,jacuizinhense,DINIZ JOSE FERNANDES,339.399,2040,6.01,2066,100,0.662,-,41800114.86,32322950.84,61345.9,
Jacutinga,4310900,jacutinguense,ADEMIR MARCIO SAKREZENSKI,178.009,3338,18.75,3398,99.11,0.726,-,46510849.95,45837786.36,56527.61,
Jaguar&atilde;o,4311007,jaguarense,ROGERIO LEMOS CRUZ,2051.845,26603,12.97,27396,99.64,0.707,3.15,177692232.47,145370056.8,38897.93,
Jaguari,4311106,jaguariense,IGOR ROSA TAMBARA,675.108,10579,15.67,10771,98.18,0.712,13.16,73541191.94,69286924.04,31093.37,
Jaquirana,4311122,jaquiranense,MARIA ISABEL RAUBER TURELLA,908.879,3690,4.06,3751,98.44,0.614,-,54677064.33,54742820.52,27590.82,
Jari,4311130,jariense,OSNEI DOS SANTOS AZEREDO,853.080,3349,3.93,3412,100,0.631,-,43410691.74,33751719.45,63193.56,
J&oacute;ia,4311155,joiense,DIONEI DE MATOS LEWANDOWSKI,1238.709,7184,5.80,7294,99.42,0.686,9.17,76724160.25,72438949.72,48147.78,
J&uacute;lio de Castilhos,4311205,castilhense,BERNARDO QUATRIN DALLA CORTE,1929.544,18226,9.45,18545,99.76,0.716,9.95,150640526.65,133904268.86,71704.26,
Lagoa Bonita do Sul,4311239,lagobonitense,LUIZ FRANCISCO FAGUNDES,109.758,2251,20.51,2283,100,0.670,95.24,30327261.96,24205620.04,37416.33,
Lago&atilde;o,4311254,lagonense,NELIO FORNARI,387.453,5341,13.78,5421,97.14,0.643,18.52,44733199.68,43312584.95,28041.72,
Lagoa dos Tr&ecirc;s Cantos,4311270,tr&ecirc;s-cantense,SERGIO ANTONIO LASCH,138.602,1738,12.54,1781,99.1,0.789,-,37652381.43,32640249.59,47102.62,
Lagoa Vermelha,4311304,lagoense,ELOIR JORGE MORONA,1272.725,27659,21.95,28622,99.3,0.738,2.89,178698602.92,170333695.15,58142.47,
Lajeado,4311403,lajeadense,GL&Aacute;UCIA SCHUMACHER,90.801,93646,1026.47,96879,95.51,0.778,6.96,740133999,679355331.98,72137.22,
Lajeado do Bugre,4311429,lajeado-bugrense,RONALDO MACHADO DA SILVA,67.947,2601,38.28,2661,99.01,0.613,-,31414267.79,27428679.78,25156.9,
Lavras do Sul,4311502,lavrense,RENAN LEAL DELABARY,2600.969,7157,2.75,7290,98.97,0.699,-,73681965.53,68221061.54,51675.97,
Liberato Salzano,4311601,salzanense,GILSON DE CARLI,245.627,4781,19.46,4845,99.4,0.685,15.87,43554824.71,38512449.45,31911.94,
Lindolfo Collor,4311627,lindolfo-collorense,GASPAR BEHNE,33.351,6248,187.34,6420,100,0.712,-,54700505.29,44848769.11,56515.46,
Linha Nova,4311643,linha-novense,GUIOMAR RAUL WINGERT,63.502,1683,26.50,1721,100,0.749,-,28499694.25,25859001.28,45249.14,
Machadinho,4311700,machadinhense,SIDINEI LOPES DE LIMA,335.344,5735,17.11,5867,100,0.692,-,55469012.36,49648594.11,45491.65,
Ma&ccedil;ambar&aacute;,4311718,ma&ccedil;ambarense,JOS&Eacute; MARIO DOS SANTOS,1682.676,4425,2.63,4485,98.53,0.684,-,51423130.36,49880045.58,83155.54,
Mampituba,4311734,mampitubense,GILBERTO LOPES ROLD&Atilde;O,156.653,3131,19.99,3203,99.06,0.649,-,36939792.41,29850471.75,32328.4,
Manoel Viana,4311759,vianense,ANTONIO FLAVIO FERNANDES BUSNELO,1365.086,6801,4.89,6915,99.55,0.655,-,59019843.09,58757444.18,44602.59,
Maquin&eacute;,4311775,maquinense,LUCIANO DE ALMEIDA ALVES,613.580,7418,12.09,7593,98.92,0.682,11.76,68871388.56,65676514.14,30836.91,
Marat&aacute;,4311791,marataense,GISELE ADRIANA SCHNEIDER,82.063,2470,30.10,2521,100,0.697,-,46589013.53,38627375,42164.68,
Marau,4311809,marauense,NAURA BORDIGNON,649.770,45124,69.45,46748,98.69,0.774,1.83,278499798.13,269953887.81,82844.93,
Marcelino Ramos,4311908,marcelinense,VANNEI MAFISSONI,229.551,4320,18.80,4382,100,0.724,-,47999419.2,42780784.31,44568.3,
Mariana Pimentel,4311981,marianense,JOEL GHISIO,338.450,3916,11.57,4005,100,0.701,-,36663446.33,32568358.75,30078.4,
Mariano Moro,4312005,marianense,VALDECIR MARIANO PINTO,98.727,1858,18.82,1884,100,0.730,-,35907497.25,34625112.03,38526.65,
Marques de Souza,4312054,marques-souzense,F&Aacute;BIO ALEX MERTZ,125.714,3969,31.57,4050,97.65,0.687,-,60126981.19,48690281.77,34642.16,
Mata,4312104,matense,SANDRO SAVEGNAGO,316.121,4698,14.86,4782,100,0.656,-,41035781.56,36594485.2,37038.24,
Mato Castelhano,4312138,mato-castelhanense,ROG&Eacute;RIO AZEREDO FRAN&Ccedil;A,238.268,2553,10.71,2611,99.02,0.727,31.25,35955853.2,31720341.02,50333.79,
Mato Leit&atilde;o,4312153,mato-leitoense,ARLY ST&Ouml;HR,46.799,4859,103.83,5001,99.22,0.746,-,52960294.89,47067206.78,60721.18,
Mato Queimado,4312179,matoqueimadense,MAURO JOS&Eacute; HARTMANN,114.653,1795,15.66,1833,97.48,0.717,47.62,30059872,26072626.63,34344.54,
Maximiliano de Almeida,4312203,almeidense,ANDR&Eacute; FERNANDO ZUCUNELLI,208.955,4191,20.11,4251,98.94,0.699,-,40120514.92,36813508.49,38096.99,
Minas do Le&atilde;o,4312252,leonense,SILVIA MARIA LASEK NUNES,424.339,7505,17.69,7661,100,0.681,-,61746327.35,51948116.26,38782.22,
Miragua&iacute;,4312302,miraguaiense,LEONIR HARTK,131.236,4427,33.73,4501,99.41,0.725,12.5,43095460.22,40789895.84,45312.25,
Montauri,4312351,montauriense,NELCIR STEFENON,82.230,1499,18.23,1530,91.76,0.764,-,30963536.48,30855329.2,49187.95,
Monte Alegre dos Campos,4312377,montealegrense,ONILTON JO&Atilde;O CAPELINI,549.455,3180,5.79,3251,100,0.650,51.28,39189202.7,35614596.48,36808.53,
Monte Belo do Sul,4312385,monte-belense,JORGE BENVENUTTI,69.726,2557,36.67,2608,100,0.752,-,35967760.38,34018416.17,49595.71,
Montenegro,4312401,montenegrino,GUSTAVO ZANATTA,425.023,64322,151.34,66352,94.34,0.755,3.68,496939028.74,460840752.69,81767.31,
Morma&ccedil;o,4312427,mormacense,ALEXANDRE ANTONIO VIEIRA,146.191,2756,18.85,2815,100,0.714,66.67,38808170.57,34384659.38,37115,
Morrinhos do Sul,4312443,morrinhense,MARCOS VENICIOS EVALDT DA SILVEIRA,166.224,3071,18.48,3133,96.89,0.711,-,40270601.81,37388054.61,33620.45,
Morro Redondo,4312450,morro-redondense,RUI VALDIR OTTO BRIZOLARA,244.645,6046,24.71,6168,99.51,0.702,-,43274685.28,35629975.31,25343.39,
Morro Reuter,4312476,morroreutense,AIRTON BOHN,87.037,6029,67.43,6167,100,0.743,-,56212308.85,51623569.84,50429.63,
Mostardas,4312500,mostardense,GILNEI JOS&Eacute; NAZARETH DE SOUZA,1977.442,12090,6.11,12347,96.02,0.664,7.46,94149399.98,84982781.15,40888.44,
Mu&ccedil;um,4312609,mu&ccedil;unense,MATEUS GIOVANONI TROJAN,111.247,4601,41.36,4692,99.26,0.746,75,75263842.13,63523333.79,59413.8,
Muitos Cap&otilde;es,4312617,caponense,LUCIANO DEBONA,1193.230,2879,2.41,2937,100,0.702,27.03,56904962.65,51102190.59,330080.63,
Muliterno,4312625,muliternense,CLEUCIR VIDI,110.969,1721,15.49,1754,100,0.689,-,29059016.62,26940083.02,41354.02,
N&atilde;o-Me-Toque,4312658,n&atilde;o-me-toquense,GILSON DOS SANTOS,361.689,17898,49.48,18335,97.85,0.765,4.41,182857585.39,166971201.51,164932.37,
Nicolau Vergueiro,4312674,nicolau-vergueirense,MARCELO FELINI,154.995,1932,12.46,1982,100,0.753,-,34055135.99,32493709.36,52703.4,
Nonoai,4312708,nonoaiense,ADRIANE PERIN DE OLIVEIRA,468.962,13719,29.25,14074,96.97,0.702,21.16,98158532.61,93339640.08,39315.84,
Nova Alvorada,4312757,nova-alvoradense,EDILSON ANTONIO ROMANINI,148.861,3163,21.25,3229,97.92,0.740,-,45812837.22,36359660.05,63845.18,
Nova Ara&ccedil;&aacute;,4312807,ara&ccedil;aense,HENRIQUE OCCHI PERETTI,75.514,4954,65.60,5098,99.65,0.785,27.52,56190699.78,40882147.38,95836.69,
Nova Bassano,4312906,bassanense,JO&Atilde;O PAULO MAROSO,211.611,9649,45.60,9867,99.31,0.747,-,79606775.52,74152734.65,79288.88,
Nova Boa Vista,4312955,boa-vistense,CLEBER BADIN,93.733,2042,21.79,2089,100,0.768,-,41010346.09,37623076.31,67476.11,
Nova Br&eacute;scia,4313003,bresciense,ANGELO ANTONIO BARBIERI,102.994,3044,29.56,3104,100,0.778,-,56390561.75,54141842.63,50582.51,
Nova Candel&aacute;ria,4313011,nova-candelariense,ARI EDMUNDO ROEHRS,97.579,3061,31.37,3138,100,0.759,-,47593487.62,40261626.22,73796.7,
Nova Esperan&ccedil;a do Sul,4313037,nova-esperancense,IVORI ANTONIO GUASSO JUNIOR,191.772,4865,25.47,4976,100,0.735,20.83,43678629.29,40706665.98,40542.21,
Nova Hartz,4313060,nova-hartense,NERI CARLOS BUENO CHICATTO,62.088,20088,322.34,20558,100,0.689,4.13,119430710.04,103822054.79,52487.16,
Nova P&aacute;dua,4313086,paduense,ITAMAR BERNARDI,102.643,2343,22.83,2389,100,0.761,-,40122106.36,33454052.08,49459.48,
Nova Palma,4313102,nova-palmense,JUCEMARA ROSSATO,314.613,5586,17.76,5676,99.2,0.744,-,54091581.59,45969819.17,54932.37,
Nova Petr&oacute;polis,4313201,nova-petropolitano,DANIEL CARLOS MICHAELSEN,290.164,23300,80.30,23934,98.44,0.780,4.17,166511056.23,162056581.93,47365.58,
Nova Prata,4313300,nova-pratense,UMBERTO LUIZ CARNEVALLI,259.941,25692,98.84,26637,96.33,0.766,9.65,197923678.55,194268219.28,60691.1,
Nova Ramada,4313334,nova-ramadense,ALZEVIR LOTARIO DE MARCHI,255.264,2163,8.47,2198,100,0.742,-,43494716.55,36324035.05,94774.16,
Nova Roma do Sul,4313359,nova-romense,ROBERTO PANAZZOLO,149.767,3466,23.14,3545,100,0.741,-,50940708.5,47534914.56,59628.86,
Nova Santa Rita,4313375,nova-santaritense,RODRIGO AMADEO BATTISTELLA,218.094,29024,133.04,30189,97.27,0.718,11.14,272297469.79,247958217.13,111265.96,
Novo Cabrais,4313391,cabraisense,LEODEGAR RODRIGUES,192.998,3568,18.49,3633,100,0.688,-,40319417.93,30210492.59,36907.08,
Novo Hamburgo,4313409,novo-hamburguense,GUSTAVO DIOGO FINCK,222.548,227646,1022.96,235802,98.84,0.747,9.99,1575297274.64,1663128249.42,52434.84,
Novo Machado,4313425,novo-machadense,VALDECI NATALINO DALLENOGARE,218.836,3198,14.61,3239,100,0.663,-,40079051.05,35748159.65,44058.47,
Novo Tiradentes,4313441,tiradentense,LUIZ CARLOS BENEDETTE,75.428,2146,28.45,2187,97.32,0.676,55.56,38265978.03,32255180.91,34181.18,
Novo Xingu,4313466,xinguense,GELCIO MARTINELLI,79.851,1646,20.61,1677,100,0.767,-,31376665.97,25311142.7,41154.7,
Novo Barreiro,4313490,novo-barreirense,MARCIA RAQUEL RODRIGUES PRESOTTO,123.344,4272,34.63,4375,100,0.706,27.78,43852793.83,38262173.91,28163.24,
Os&oacute;rio,4313508,osoriense,ROMILDO BOLZAN J&Uacute;NIOR,663.878,47396,71.39,48999,98.44,0.751,15.57,371938881.18,325155662.63,45192.63,
Paim Filho,4313607,paim-filhense,GENES JACINTO MOTERLE RIBEIRO,181.998,3629,19.93,3685,99.12,0.706,-,41595397.88,35374434.66,44841.86,
Palmares do Sul,4313656,palmarense,REGIS BAUERMANN,949.201,12844,13.53,13189,97.8,0.715,-,100131542.37,90075641.49,57603.14,
Palmeira das Miss&otilde;es,4313706,palmeirense,EVANDRO LUIS MASSING,1421.101,33216,23.37,34227,98.5,0.737,14.06,248669040.34,210098854.75,51430.76,
Palmitinho,4313805,palmitense,BENHUR DAILOR BARTH,144.181,7839,54.37,8042,98.91,0.720,22.47,55070067.35,52061494.38,33846.85,
Panambi,4313904,panambiense,GUSTAVO CAVALHEIRO,491.570,43515,88.52,45102,99.79,0.761,14.63,337750324.5,285743905.67,92180.09,
Pantano Grande,4313953,pantanense,ALCIDES EMILIO PAGANOTTO,841.225,10212,12.14,10443,95.26,0.661,-,84584303.07,79043213.2,56464.39,
Para&iacute;,4314001,paraiense,GILBERTO ZANOTTO,121.745,7194,59.09,7362,98.92,0.773,11.36,73236779.76,63001542.26,67869.88,
Para&iacute;so do Sul,4314027,paraisense,CLAITON CLEO MULLER,337.534,6519,19.31,6627,98.62,0.676,19.61,53370400.82,43396283.27,35286.74,
Pareci Novo,4314035,pareciense,LORENI CRISTINA REINHEIMER,57.485,4319,75.13,4441,94.22,0.749,-,58300936.12,48881866.5,36872.89,
Parob&eacute;,4314050,parobeense,GILBERTO MIGUEL GOMES JUNIOR,108.560,52058,478.88,53569,99.22,0.704,8.86,294356803.21,251081583.61,33154.28,
Passa Sete,4314068,passasetense,MAURICIO AFONSO RUOSO,304.299,3983,13.09,4024,99.6,0.622,-,44103965.54,35587822.99,36308.92,
Passo do Sobrado,4314076,passo-sobradense,EDGAR THIESEN,265.133,6025,22.72,6155,100,0.698,16.67,53965782.72,46396393.22,46783.6,
Passo Fundo,4314100,passo-fundense,PEDRO C&Eacute;ZAR DE ALMEIDA NETO,784.406,206215,262.89,214811,96.67,0.776,9.35,1156293673.09,1102230983.01,68227.53,
Paulo Bento,4314134,paulobentense,EVANDRO BARATTO,149.669,2144,14.32,2188,100,0.710,62.5,32587414.78,28291381.01,111267.68,
Paverama,4314159,paveramense,MICHELE CAROLINE DE VARGAS,171.863,7978,46.42,8146,98.58,0.683,-,53023068.6,49285479.66,37761.59,
Pedras Altas,4314175,pedras altense,VIVIANE MARIA AVILA DE ALBUQUERQUE,1373.985,2061,1.50,2099,98.79,0.640,41.67,49388823.67,49204432.28,83867.92,
Pedro Os&oacute;rio,4314209,pedro-osoriense,RICARDO DUARTE ALVES,603.757,7484,12.40,7631,99.39,0.678,33.33,50524097.57,42569592.82,32391.1,
Peju&ccedil;ara,4314308,peju&ccedil;arense,FLAVIANA BRANDEMBURG BASSO,414.106,3745,9.04,3817,97.34,0.741,25.64,49243455.53,46044465.55,78260.03,
Pelotas,4314407,pelotense,FERNANDO STEPHAN MARRONI,1608.780,325685,202.44,336150,98.76,0.739,11.32,1832154928.45,1758050375.25,38322.06,
Picada Caf&eacute;,4314423,picadense,DANIEL RUCKERT,84.280,5351,63.49,5473,98.94,0.758,-,52011936.88,44368397.66,73528.66,
Pinhal,4314456,pinhalense,LUIZ CARLOS PINTO RIBEIRO,68.222,2959,43.37,3039,100,0.720,-,51146289.36,42865892.45,52087.42,
Pinhal da Serra,4314464,pinhalense,JOS&Eacute; ROBISON RODRIGUES DUARTE,438.110,2248,5.13,2300,100,0.650,-,46974389.34,39677386.83,110772.2,
Pinhal Grande,4314472,pinhal-grandense,LUCAS MICHELON,478.110,3805,7.96,3861,99.23,0.678,-,59173136.51,49508430.54,131668.27,
Pinheirinho do Vale,4314498,pinheirinhense,ELTON TATTO,105.385,4540,43.08,4638,99.55,0.710,15.87,41118978.12,36375780.21,30961.71,
Pinheiro Machado,4314506,pinheirense,RONALDO COSTA MADRUGA,2249.176,11214,4.99,11395,99.48,0.661,-,84660712.8,87486751.91,31915.07,
Pinto Bandeira,4314548,pinto bandeirense,ADILSO ANTONIO SALINI,104.801,2723,25.98,2785,100,-,-,34679822.12,28371413.49,34202.82,
Pirap&oacute;,4314555,pirapoense,LAURI LUIZ SCHEEREN,281.794,2260,7.69,2255,96.47,0.669,-,33472775.2,28368202.42,31865.35,
Piratini,4314605,piratinense,MARCIO MANETTI PORTO,3538.300,17504,4.95,17770,99.13,0.658,25.64,108061697.58,108665607.89,42525.18,
Planalto,4314704,planaltense,CRISTIANO GNOATTO,228.552,10406,45.53,10624,98.8,0.687,7.75,62935899.97,58220934.08,31306.7,
Po&ccedil;o das Antas,4314753,po&ccedil;oantense,GLICERIO IVO JUNGES,67.618,2171,32.11,2224,99.32,0.744,43.48,34255125.18,33841789.42,46418.25,
Pont&atilde;o,4314779,pontanense,LUIS FERNANDO PEREIRA DA SILVA,502.709,3296,6.56,3345,99.16,0.725,-,52787285.41,45364598.16,82517.64,
Ponte Preta,4314787,ponte-pretense,JOSIEL FERNANDO GRISELI,99.504,1575,15.83,1602,100,0.725,-,37725244.38,28059951.54,49725.38,
Port&atilde;o,4314803,portanense,DELMAR HOFF,159.298,34071,213.88,35273,95.6,0.713,6.41,220666605.32,201399284.5,53320.33,
Porto Alegre,4314902,porto-alegrense,SEBASTI&Atilde;O DE ARA&Uacute;JO MELO,495.977,1332845,2690.50,1388794,96.69,0.805,8.49,10386669318.45,11520368235.01,78586.94,
Porto Lucena,4315008,porto-lucenense,IURY SOMMER ZABOLOTSKY,250.876,4360,17.38,4414,91.34,0.693,-,38490983.38,36281334.91,29580.7,
Porto Mau&aacute;,4315057,porto-mauense,CARLOS CESAR DINON,105.811,2142,20.24,2173,100,0.698,-,36220680,33768733.43,37141.41,
Porto Vera Cruz,4315073,porto-vera-cruzense,JAIME DOMINGOS TAFFAREL,114.284,1560,13.65,1582,100,0.690,-,36374482.72,29224602.47,31008.36,
Porto Xavier,4315107,porto-xavierense,GILBERTO DOMINGOS MENIN,281.497,9938,35.30,10127,100,0.723,-,75650008.82,74841134.7,23151.69,
Pouso Novo,4315131,pouso-novense,CARLOS ALBERTO BONACINA,105.338,1739,16.51,1771,100,0.715,-,37756874.63,30144219.9,33297.22,
Presidente Lucena,4315149,lucinense,LUIZ JOS&Eacute; SPANIOL,49.628,3077,62.00,3166,99.16,0.757,30.3,44302304.14,34464704.04,120810.49,
Progresso,4315156,progressense,PAULO GILBERTO SCHMITT,256.039,5340,20.86,5423,100,0.683,19.23,47260781.39,42127229.3,33993.12,
Prot&aacute;sio Alves,4315172,prot&aacute;sio-alvense,ITAMAR ANT&Ocirc;NIO GIRARDI,171.994,2025,11.77,2070,97.83,0.733,-,33521246.8,30967028.6,46102.73,
Putinga,4315206,putinguense,JULIANO MORETTO,216.159,3747,17.33,3809,98.87,0.715,-,50145271.1,45468447.47,41034.89,
Quara&iacute;,4315305,quaraiense,JEFERSON DA SILVA PIRES,3139.995,23500,7.48,23995,99.63,0.704,13.16,126625420.5,107600215.88,30640.71,
Quatro Irm&atilde;os,4315313,quatroirmanense,JO&Atilde;O PAULO BALBINOT,268.971,1552,5.77,1577,98.76,0.689,-,34446477.14,29416778.74,87965.55,
Quevedos,4315321,quevedense,TA&Iacute;S FABIANE DA MAIA FLORES ROSA,543.359,2507,4.61,2553,100,0.665,-,38370324.17,34085833.21,62326.69,
Quinze de Novembro,4315354,quinze-novembrense,MARCOS LUIS PETRI,223.072,3910,17.53,4003,98.17,0.756,-,52539999.77,45676293.4,44217.6,
Redentora,4315404,redentorense,MALBERK ANTOINE KUNST DULLIUS,303.705,9738,32.06,9931,94.31,0.631,15.38,61944329.34,57795166.23,21318.95,
Relvado,4315453,relvadense,CARLOS LUIZ FRAPORTI,108.188,1796,16.60,1826,100,0.731,-,41098321.99,34139453.71,42091.89,
Restinga S&ecirc;ca,4315503,restinguense,NORTON SOARES DA ROSA,968.620,14939,15.42,15205,99.26,0.683,7.19,117599689.68,96496724.01,43057.1,
Rio dos &Iacute;ndios,4315552,riodinhense,FLAVIO GOLIN,235.854,2835,12.02,2866,100,0.656,-,42301670.87,35727329.32,41149.89,
Rio Grande,4315602,rio-grandino,DARLENE TORRADA PEREIRA,2682.867,191900,71.53,198935,99.03,0.744,9.8,1297938688.55,1065264520.46,73510.58,
Rio Pardo,4315701,rio-pardense,ROGERIO LUIZ MONTEIRO,2051.112,34654,16.90,35641,97.82,0.693,10.93,202902971.46,175349346.69,36013.71,
Riozinho,4315750,riozinhense,AIRTON TREVIZANI DA ROSA,239.090,4473,18.71,4574,99.19,0.661,-,50465051.68,46571907.14,37060.5,
Roca Sales,4315800,roca-salense,JONES WUNSCH,208.108,10418,50.06,10646,98.68,0.729,8.85,106227247.91,95752779.22,60146.95,
Rodeio Bonito,4315909,rodeiense,PAULO DUARTE,83.278,6654,79.90,6831,98.47,0.732,-,61085335.62,51559892.43,45258.46,
Rolador,4315958,roladorense,JO&Atilde;O ALBERTO AQUINO GOMES,295.201,2291,7.76,2330,98.93,0.689,-,37528064.38,28543690.18,39897.55,
Rolante,4316006,rolantense,ALCEU TREVIZANI DA ROSA,296.090,21253,71.78,21752,92.98,0.688,14.71,156880459.86,146987756.45,44747.02,
Ronda Alta,4316105,ronda-altense,MARCOS MIGUEL BEUX,418.675,9777,23.35,9969,100,0.724,7.94,73859864.83,64953593.04,41200.33,
Rondinha,4316204,rondinhense,EZEQUIEL PASQUETTI,252.454,4991,19.77,5078,100,0.764,-,54953549.21,48731515.86,45625.31,
Roque Gonzales,4316303,roque-gonzalense,FERNANDO MATTES MACHRY,349.084,6576,18.84,6693,100,0.688,22.22,55418364.7,52491332.71,60333.5,
Ros&aacute;rio do Sul,4316402,rosariense,MARCOS PAULO SILVA DA LUZ,4343.656,36630,8.43,37674,99.15,0.699,11.99,186911564.15,184216952.02,40903.98,
Sagrada Fam&iacute;lia,4316428,sagradense,MAURO ROGERIO FERRARI GALATTO,77.889,2480,31.84,2528,100,0.678,35.71,38576453.38,35314204.93,27057.45,
